Voyage ID,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Total embarked,Total disembarked,Year of arrival at port of disembarkation,Percent men,Percent women,Percent children,Slaves died during middle passage,Mortality rate,Slaves outcome label
15121,London,Bristol,Cape Coast Castle,311,269,1705,,,,,,Slaves disembarked in Americas
16001,Beginning,Bristol,"Africa., port unspecified",166,133,1698,,,,,,Slaves disembarked in Americas
16003,Beginning,Bristol,"Africa., port unspecified",140,112,1700,,,,,,Slaves disembarked in Americas
16004,Victory,Bristol,"West Central Africa and St. Helena, port unspecified",381,331,1699,,,,,,No information on slaves
16005,Wakeing Lyon,Bristol,"Africa., port unspecified",243,195,1700,,,,,,Slaves disembarked in Americas
16006,Dispatch,Bristol,"Africa., port unspecified",200,160,1701,,,,,,Slaves disembarked in Americas
16007,Elizabeth Gally,Bristol,Calabar,251,,1700,,,,,,Slaves perished with ship
16009,Anne,Bristol,"Africa., port unspecified",157,139,1702,,,,,,Slaves disembarked in Americas
16010,Earle Gally,Bristol,"Africa., port unspecified",325,260,1701,,,,,,Slaves disembarked in Americas
16011,Expectation,Bristol,"Africa., port unspecified",237,190,1701,,,,,,Slaves disembarked in Americas
16012,Humphry,Bristol,Calabar,258,196,1702,,,,,,Slaves disembarked in Americas
16013,Anne,Bristol,"Africa., port unspecified",72,64,1703,,,,,,Slaves disembarked in Americas
16014,Cowslip,Bristol,"Africa., port unspecified",144,128,1703,,,,,,Slaves disembarked in Americas
16015,Happy Return,Bristol,Anomabu,167,144,1703,,,,,,Slaves disembarked in Americas
16016,African Gally,Bristol,"Africa., port unspecified",245,196,1706,,,,,,Slaves disembarked in Americas
16017,Wakeing Lyon,Bristol,Calabar,203,154,1706,,,,,,Slaves disembarked in Americas
16018,Berkeley Gally,Bristol,"Africa., port unspecified",237,190,1707,,,,,,Slaves disembarked in Americas
16019,Colston Gally,Bristol,"Gold Coast, port unspecified",231,200,1707,,,,,,Slaves disembarked in Americas
16020,Happy Return,Bristol,"Africa., port unspecified",237,190,1706,,,,,,Slaves disembarked in Americas
16021,Happy Return,Bristol,Anomabu,185,160,1707,,,,,,Slaves disembarked in Americas
16022,Thomson,Bristol,"Gold Coast, port unspecified",134,120,1707,,,,,,Slaves disembarked in Americas
